Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERR1352952,ERR1352953,ERR1352956,ERR1352957,ERR1352959,ERR1352962,ERR1352903,ERR1352906,ERR1352908,ERR1352909,ERR1352932,ERR1352934,ERR1352935,ERR1352937,ERR1352940,ERR1352942,ERR1352943,ERR1352946,ERR1352912,ERR1352913,ERR1352928,ERR1352929,ERR1352947,ERR1352950,ERR1352916,ERR1352918,ERR1352920,ERR1352921,ERR1352924,ERR1352925
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Kribbia,Intr_Kribbia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Kytococcus,Intr_Kytococcus,0,0,2,0,0,0,0,0,2,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Lapillicoccus,Intr_Lapillicoccus,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Oryzihumus,Intr_Oryzihumus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus,Intr_Phycicoccus,5,1,4,0,74,0,3,4,9,20,0,5,0,8,0,2,0,10,6,3,4,6,0,0,0,0,6,0,2,17
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Serinicoccus,Intr_Serinicoccus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Terracoccus,Intr_Terracoccus,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Tetrasphaera,Intr_Tetrasphaera,0,1,0,0,1,0,4,3,0,1,0,0,0,0,0,2,0,0,2,1,0,9,0,0,0,0,2,0,0,12
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Jonesiaceae,Jonesia,Jone_Jonesia,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineococcus,Kine_Kineococcus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineosporia,Kine_Kineosporia,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agrococcus,Micr_Agrococcus,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Micr_Agromyces,0,1,1,0,2,0,2,0,1,0,9,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,1,0,0,3
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Clavibacter,Micr_Clavibacter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Cryocola,Micr_Cryocola,0,1,0,2,1,0,0,0,1,2,0,0,1,1,0,0,4,0,0,0,0,2,1,0,0,0,0,1,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,Micr_Curtobacterium,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Frigoribacterium,Micr_Frigoribacterium,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Leucobacter,Micr_Leucobacter,4,3,1,1,11,2,0,22,5,1,6,2,1,1,1,6,3,2,13,1,6,1,2,3,4,1,5,2,11,3
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Microbacterium,Micr_Microbacterium,107,8,8,9,56,24,7,94,23,2,18,9,5,20,4,11,26,10,163,3,2,4,6,9,1,95,23,15,45,19
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Mycetocola,Micr_Mycetocola,12,0,3,1,7,1,0,4,8,2,9,4,1,2,1,6,2,0,22,3,4,4,1,3,2,10,1,1,2,3
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Pseudoclavibacter,Micr_Pseudoclavibacter,0,1,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Rathayibacter,Micr_Rathayibacter,0,0,3,1,2,0,0,7,6,0,10,1,1,1,1,0,0,2,28,1,0,0,3,1,0,0,2,2,1,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,Micr_Salinibacterium,1,0,2,4,1,0,0,3,5,0,0,0,3,7,0,0,2,1,2,0,0,4,3,0,0,2,3,3,3,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Yonghaparkia,Micr_Yonghaparkia,2,0,4,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
