kingdom	phylum	ERR1352903	ERR1352904	ERR1352905	ERR1352906	ERR1352907	ERR1352908	ERR1352909	ERR1352910	ERR1352911	ERR1352912	ERR1352913	ERR1352914	ERR1352915	ERR1352916	ERR1352917	ERR1352918	ERR1352919	ERR1352920	ERR1352921	ERR1352922	ERR1352923	ERR1352924	ERR1352925	ERR1352926	ERR1352927	ERR1352928	ERR1352929	ERR1352930	ERR1352931	ERR1352932	ERR1352933	ERR1352934	ERR1352935	ERR1352936	ERR1352937	ERR1352938	ERR1352939	ERR1352940	ERR1352941	ERR1352942	ERR1352943	ERR1352944	ERR1352945	ERR1352946	ERR1352947	ERR1352948	ERR1352949	ERR1352950	ERR1352951	ERR1352952	ERR1352953	ERR1352954	ERR1352955	ERR1352956	ERR1352957	ERR1352958	ERR1352959	ERR1352960	ERR1352961	ERR1352962
Bacteria	MVP-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	MVS-104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NC10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0
Bacteria	NKB19	3	29	7	32	4	37	2	3	3	13	1	1	13	9	35	87	11	15	2	9	3	12	0	32	5	15	0	104	3	33	0	6	2	20	2	4	8	10	2	72	8	3	5	13	3	5	2	4	6	35	3	18	15	29	12	3	0	4	1	9
Bacteria	Nitrospirae	9	366	16	798	4	208	34	82	2	171	31	136	0	2	5	26	42	436	80	262	212	505	10	70	189	120	0	43	10	60	8	39	28	370	495	159	102	159	24	160	104	37	4	10	40	116	16	152	76	210	46	304	2	11	181	166	0	5	8	38
Bacteria	OC31	3	30	2	50	1	4	11	7	1	9	23	24	0	0	4	10	3	54	18	20	5	25	0	0	0	1	1	1	1	17	1	0	1	10	1	0	1	0	14	7	14	2	0	0	0	3	2	13	1	11	8	28	0	0	0	0	0	0	0	0
Bacteria	OD1	3	47	24	49	30	67	26	9	17	21	29	10	6	1	29	17	18	26	41	11	66	27	67	53	156	41	9	11	20	18	25	23	19	25	63	16	104	21	21	12	33	5	6	3	42	13	23	12	39	27	24	7	82	35	149	14	12	1	22	6
Bacteria	OP1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0
Bacteria	OP11	0	8	4	2	22	20	1	0	4	4	1	1	26	7	1	0	8	4	2	2	2	0	45	31	68	17	1	2	0	0	1	0	1	8	2	1	11	0	0	3	0	2	0	0	0	0	1	2	13	2	2	2	22	11	7	0	0	0	8	4
Bacteria	OP3	0	9	0	29	8	16	6	0	1	5	0	2	0	0	6	3	2	6	51	23	0	3	7	4	82	28	0	0	0	1	0	0	2	4	29	8	13	5	8	5	4	0	0	1	0	0	0	3	7	18	10	13	46	10	7	1	0	2	2	7
Bacteria	OP8	0	0	0	4	0	12	0	0	0	0	0	1	0	0	0	2	1	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	29	10	1	2	0	0	1	0
Bacteria	OP9	0	4	0	1	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	8	8	0	0	0	0	1	1
Bacteria	PAUC34f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Planctomycetes	97	344	95	473	82	143	120	37	31	89	77	76	138	69	249	319	139	421	479	217	350	222	171	140	229	179	63	83	165	98	77	31	66	161	999	153	348	145	126	109	234	44	13	15	149	86	115	110	166	408	223	102	123	51	223	49	8	11	50	35
Bacteria	Proteobacteria	4081	1316606	11304	2859807	10126	1460061	3818	367013	6010	522733	4140	323388	7303	336369	3325	536162	3785	384516	8999	973893	8597	1074207	4260	568744	7167	335831	5401	1939820	3980	1239105	5642	340540	3105	958693	4516	421882	8307	716039	4605	1675219	11686	353279	7146	287811	6847	455640	3227	478985	9555	806252	9510	875908	1395	617119	11649	561996	22534	400305	2953	305909
Bacteria	SAR406	0	4	0	1	0	32	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	40	33	1	0	0	0	0	0
Bacteria	SBR1093	0	0	1	2	0	1	0	0	0	0	0	0	27	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	SC4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	SR1	2	8	3	5	4	7	0	0	1	5	1	12	2	1	12	12	0	6	10	1	6	3	5	0	31	4	0	0	3	0	0	0	0	1	1	0	1	1	1	0	5	0	7	0	9	3	1	4	18	12	2	0	0	0	18	2	138	28	5	0
Bacteria	Spirochaetes	1277	3067	2613	1596	2988	2933	1796	816	1143	1350	365	329	50	12	75	73	794	1373	243	98	115	65	277	637	427	143	122	170	1455	2006	454	546	255	236	458	149	1629	1071	2560	4095	58	10	7	5	560	192	648	1138	975	2053	987	596	708	920	773	452	6	5	418	688
Bacteria	Synergistetes	0	11	1	19	0	129	0	2	2	2	2	5	9	8	0	0	0	2	0	2	13	4	0	0	1	1	1	1	1	3	0	0	1	9	0	2	2	4	2	3	0	0	2	5	0	0	2	0	2	1	2	1	132	129	4	1	0	1	2	1
Bacteria	TA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria	TM6	0	3	3	36	1	13	7	3	2	2	2	0	0	0	6	3	6	2	28	2	96	32	14	3	6	0	3	4	5	14	1	4	2	8	3	3	3	3	0	1	15	2	0	0	30	15	6	1	11	14	19	1	3	5	10	4	0	0	4	2
Bacteria	TM7	13	81	151	97	149	38	69	18	45	42	56	8	9	5	6	3	47	19	109	18	225	60	256	72	159	15	160	68	71	25	118	35	30	34	124	22	174	34	118	49	330	14	17	3	81	22	24	14	58	31	38	16	9	5	79	7	79	4	46	7
Bacteria	TPD-58	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	Tenericutes	0	33	1	55	3	31	3	9	2	12	3	6	24	8	0	10	1	4	10	23	7	20	5	15	12	3	4	37	1	29	2	9	0	34	11	9	23	15	5	50	8	12	3	9	4	16	3	8	8	25	3	21	0	13	4	14	31	10	3	9
Bacteria	Thermi	2	341	2	751	0	81	1	65	0	80	1	205	56	148	0	13	2	16	1	54	1	28	0	8	0	5	1	12	1	21	2	26	0	188	2	9	2	10	1	198	0	4	1	32	0	7	0	67	0	1990	1	26	0	32	3	28	3	18	0	104
Bacteria	Thermotogae	0	0	7	1	0	320	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0	0	1	0	0	0	4	1	7	1	239	317	4	1	0	0	2	0
Bacteria	Unassigned	0	3	0	5	1	35	0	0	0	3	0	0	1	0	0	1	0	21	1	1	2	3	0	0	1	0	0	5	0	3	0	0	0	0	1	0	0	0	1	2	0	0	1	0	1	0	0	0	6	3	0	1	20	34	0	1	0	0	0	0
Bacteria	Verrucomicrobia	72	312	325	288	144	992	96	36	125	189	81	44	72	12	157	400	93	118	177	62	95	130	151	134	300	60	85	188	89	59	64	28	51	115	141	40	165	37	69	52	163	36	46	60	160	90	52	49	172	310	117	106	837	910	218	55	85	43	78	63
Bacteria	WPS-2	156	152	157	234	71	88	11	19	11	23	38	48	13	9	14	242	11	124	71	84	11	18	25	89	66	28	2	9	39	31	27	129	8	49	31	9	30	15	43	137	69	32	6	2	28	65	2	17	72	143	55	64	6	13	20	27	6	1	5	16
Bacteria	WS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	0
Bacteria	WS3	0	16	1	105	6	6	9	6	4	11	11	5	0	0	3	6	12	46	74	63	48	41	12	12	34	16	0	0	6	3	1	0	2	15	66	22	9	5	14	29	11	2	3	0	14	9	1	2	5	6	5	18	4	3	13	0	0	0	5	3
Bacteria	WS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	WS6	0	2	1	1	1	34	0	0	0	1	2	0	6	0	0	0	0	1	0	0	11	1	0	0	2	0	0	0	2	0	0	0	0	2	1	0	0	0	3	1	0	0	0	0	1	0	1	0	3	0	2	0	206	34	7	0	1	0	0	0
Bacteria	WWE1	0	1	0	0	1	19	4	3	0	1	7	5	0	0	0	0	0	0	0	0	6	0	0	2	3	0	1	2	0	0	0	0	5	1	0	0	2	0	2	2	0	0	1	0	6	1	3	0	5	0	10	2	11	12	18	5	0	0	6	0
Bacteria	ZB3	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Unassigned	Unassigned	3839	114713	4282	180510	5321	75581	3222	35624	2591	41343	3345	39687	3777	33978	3875	53685	2699	188049	6258	59367	6350	88669	3104	62748	6180	52064	3212	101844	3413	73472	2670	23608	2275	78649	6043	35490	5236	45455	3224	62918	7038	66017	2791	18227	3492	31917	2638	38406	4945	40137	7437	44074	2621	24107	6708	39900	10049	34591	2257	34055
