,study_id,Crenarchaeota,Euryarchaeota,Thaumarchaeota,Acidobacteria,Actinobacteria,Armatimonadetes,Bacteroidetes,Caldiserica,Calditrichaeota,Chlamydiae,Chlorobi,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Nitrospinae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Verrucomicrobia,Annelida,Apicomplexa,Arthropoda,Ascomycota,Bacillariophyta,Basidiomycota,Blastocladiomycota,Chlorophyta,Chordata,Chytridiomycota,Cnidaria,Colponemidia,Cryptomycota,Euglenida,Mollusca,Mucoromycota,Nematoda,Phaeophyceae,Platyhelminthes,Porifera,Rotifera,Streptophyta,Tardigrada,Xenacoelomorpha,Aquificae,Balneolaeota,Chrysiogenetes,Deferribacteres,Lentisphaerae,Thermodesulfobacteria,Brachiopoda,Echinodermata,Haplosporidia,Picozoa,Zoopagomycota,Nanoarchaeota,Dictyoglomi,Thermi,Parvarchaeota,Caldithrix,Poribacteria
ERR1414267,MGYS00001110,0,43,0,358,2498,33,5988,4,0,3,152,413,41,39,8,10001,508,96,0,0,0,229,305,16916,79,54,111,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,1,0,0
ERR1414271,MGYS00001110,0,44,0,61,1456,25,14306,5,0,0,26,93,35,8,29,18104,1510,28,0,0,0,11,105,53360,95,40,83,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0
ERR1414265,MGYS00001110,0,24,0,160,902,22,1223,0,0,30,50,234,107,14,16,600,30,39,0,0,0,28,108,10001,30,28,9,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,71,0,0,0
ERR1414209,MGYS00001110,0,70,0,422,2675,47,7263,6,0,3,157,489,37,44,2,11437,597,98,0,0,0,313,319,21171,100,42,131,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,1,2,0
ERR1414210,MGYS00001110,0,41,0,384,1883,47,7635,0,0,2,152,416,66,30,11,10705,611,77,0,0,0,254,268,22019,110,40,126,3,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,8,1,1,0
ERR1414211,MGYS00001110,0,49,0,415,1768,55,8946,5,0,1,111,455,92,37,14,12717,608,80,0,0,0,230,277,25465,128,57,109,4,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,8,1,2,0
ERR1414212,MGYS00001110,0,16,0,711,2976,83,5596,4,0,5,267,970,67,47,9,786,15,228,0,0,0,347,435,12680,65,2,7,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0
ERR1414213,MGYS00001110,0,21,0,884,3429,114,6256,0,0,2,254,1204,69,61,14,845,16,225,0,0,0,291,500,13711,102,8,30,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0
ERR1414214,MGYS00001110,0,14,0,752,3262,93,5625,2,0,3,265,948,60,37,7,726,11,243,0,0,0,249,474,12506,83,3,21,1,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,6,1
ERR1414215,MGYS00001110,0,16,0,982,2905,90,7917,1,0,5,312,1273,74,78,23,1085,23,255,0,0,0,346,543,17000,126,5,21,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0
ERR1414216,MGYS00001110,2,1303,0,260,1030,155,4794,116,0,6,145,4278,8,6,19,6086,10,32,0,0,0,25,185,4259,1141,461,124,177,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,2,14,276,0
ERR1414217,MGYS00001110,3,1431,0,249,1049,139,4219,89,0,4,145,3542,10,7,24,5865,11,39,0,0,0,25,210,4353,1152,397,178,155,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,3,29,272,0
ERR1414218,MGYS00001110,5,1195,0,261,970,147,4648,88,0,5,145,4048,8,7,20,5527,16,37,0,0,0,31,183,3979,1081,416,140,164,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,16,254,0
