assembly_run_ids,study_id,Euryarchaeota,Actinobacteria,Bacteroidetes,Chloroflexi,Elusimicrobia,Firmicutes,Fusobacteria,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Tenericutes,Verrucomicrobia,Ascomycota,Basidiomycota,Arthropoda,Chordata,Mollusca,Nematoda,Rotifera,Cercozoa,Ciliophora,Euglenozoa,Heterolobosea,Tubulinea,Streptophyta,Crenarchaeota,Nanoarchaeota,Thaumarchaeota,Acidobacteria,Aquificae,Armatimonadetes,Balneolaeota,Caldiserica,Calditrichaeota,Chlamydiae,Chlorobi,Chrysiogenetes,Cyanobacteria,Deferribacteres,Fibrobacteres,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospinae,Rhodothermaeota,Synergistetes,Thermodesulfobacteria,Thermotogae,Annelida,Apicomplexa,Bacillariophyta,Blastocladiomycota,Brachiopoda,Bryozoa,Chlorophyta,Chromerida,Chytridiomycota,Cnidaria,Colponemidia,Cryptomycota,Echinodermata,Entoprocta,Entorrhizomycota,Euglenida,Eustigmatophyceae,Gastrotricha,Gnathostomulida,Haplosporidia,Hemichordata,Microsporidia,Mucoromycota,Phaeophyceae,Picozoa,Pinguiophyceae,Placozoa,Platyhelminthes,Porifera,Priapulida,Tardigrada,Xanthophyceae,Xenacoelomorpha,Zoopagomycota,Parvarchaeota,Caldithrix
ERR2814651,MGYS00005056,81,363,3543,98,4,4106,1525,15,19,18355,203,42,111,5,0,1,4,1,5,0,0,0,0,0,0,1,0,0,1,18,0,5,0,3,0,18,1,0,22,0,23,4,11,12,20,0,0,55,0,17,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814652,MGYS00005056,75,877,6141,179,1,7977,971,3,14,11242,61,61,118,14,5,1,1,0,18,0,0,0,0,0,0,104,1,0,0,14,0,0,0,3,0,5,1,0,27,0,20,1,10,11,19,0,0,33,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814653,MGYS00005056,15,1378,7312,21,11,11831,571,123,45,14588,49,113,184,18,1,3,1,0,14,3,0,0,0,0,0,3,0,0,0,37,0,7,0,0,0,9,0,0,49,1,38,10,10,4,26,0,0,8,0,3,9,1,0,0,0,1,2,0,0,0,0,11,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814654,MGYS00005056,18,1521,7862,37,11,12828,611,133,48,15677,58,121,197,26,2,1,3,0,7,2,0,0,0,0,0,7,0,1,0,45,0,5,0,1,0,7,0,0,50,0,33,11,10,6,28,0,0,10,0,3,17,1,1,0,0,2,2,0,1,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814655,MGYS00005056,22,1140,5211,20,2,6233,1197,7,9,12242,171,112,180,23,1,0,1,0,3,0,0,0,0,0,0,2,1,0,0,21,0,2,0,1,0,18,1,0,59,0,29,8,20,14,14,0,0,31,0,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ERR2814656,MGYS00005056,16,573,5291,117,4,6668,410,2,17,9830,56,60,83,4,2,0,3,0,4,0,0,0,0,0,0,2,0,0,1,30,0,1,0,0,0,9,2,0,26,0,14,12,23,7,9,0,0,14,0,2,1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814657,MGYS00005056,62,700,5696,22,9,11458,993,0,7,11446,78,107,66,52,6,4,4,0,8,2,0,0,0,0,0,4,0,0,0,7,0,1,0,0,1,8,5,0,34,0,48,0,23,21,11,0,0,26,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ERR2814658,MGYS00005056,75,844,5948,167,0,7588,935,2,14,10751,60,51,108,12,4,3,4,0,19,0,0,0,0,0,0,96,0,0,0,14,0,1,0,3,0,8,0,0,31,0,16,1,9,10,23,0,0,33,0,2,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814659,MGYS00005056,80,342,3277,71,4,3864,1366,8,15,17141,177,43,97,3,0,2,4,0,6,0,0,0,0,0,0,1,0,0,1,15,0,1,0,5,1,17,0,0,17,0,15,3,8,8,20,0,0,59,0,16,3,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ERR2814660,MGYS00005056,20,811,5183,36,4,6757,1134,2,20,10513,382,92,156,12,2,0,1,0,5,1,0,0,0,0,0,337,0,0,0,24,0,1,0,0,0,7,1,0,66,0,32,3,8,8,28,0,0,11,0,0,0,5,0,0,0,0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0
ERR2814661,MGYS00005056,21,639,5725,110,3,7120,433,2,20,10640,76,61,83,4,2,0,5,0,8,0,0,0,0,0,0,3,0,0,1,27,0,0,0,0,1,10,3,0,24,0,12,10,26,6,10,0,0,24,0,2,1,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ERR2814662,MGYS00005056,22,824,6179,60,36,8296,536,12,16,10709,137,79,119,4,1,0,0,0,16,11,0,0,0,0,0,8,0,0,0,30,0,0,0,0,0,8,0,0,42,0,13,2,13,8,16,0,0,25,0,0,0,0,1,0,0,0,21,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814663,MGYS00005056,10,723,6605,10,3,8715,664,1,7,14299,11,88,80,2,6,0,0,0,16,3,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,3,3,0,18,0,24,0,13,3,6,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
